name,ra,dec,t_zero,period,width
101884_AD_CYCLE1706,56.8020183077929,-34.4586868533079,2457336.842071759,9.772265613777522,6.25625
101981_AD_TEST16A,205.961138615677,-12.3599028523416,2457497.708877315,0.9425185818656909,2.6710583333333333
101981_AD_TEST18,205.961138615677,-12.3599028523416,2457500.6166666667,4.708043290952847,5.830638888888888
102018_AD_TEST16,214.496490889741,-0.614938412780059,2457394.8632870372,1.977450376099838,1.8229388888888887
102018_AD_TEST16A,214.496490889741,-0.614938412780059,2457393.8810069445,1.4894909063319908,1.9825555555555554
102018_AD_TEST18,214.496490889741,-0.614938412780059,2457395.847002315,3.3854495013366086,2.202772222222222
102040_AD_CYCLE1706,79.2129891256287,-26.0480687489823,2457291.4006481483,7.1834086313897565,3.8883055555555552
102056_AD_TEST18,305.702204549846,-19.5301831795063,2457503.2347569442,4.38422380516397,2.000741666666667
102056_AD_TEST18F,305.702204549846,-19.5301831795063,2457503.2347569442,4.38422380516397,2.000741666666667
102322_AD_CYCLE1706,214.938485330701,-31.2709931714333,2457755.89556713,0.9036821162707813,1.9226361111111112
102368_AD_CYCLE1706,218.475662716932,-24.6529513845884,2457394.039409722,1.2362369954303936,1.613622222222222
102381_AD_CYCLE1706,322.514210645212,-16.4836711843961,2457509.3895949074,18.03105980531933,7.5817499999999995
102623_AD_CYCLE1706,229.437419655507,-24.4293805100337,2457783.690324074,4.193263859721042,1.7215055555555558
102703_AD_CYCLE1706,91.8852713191851,-32.8162483390678,2457617.62787037,10.555909429262268,2.921388888888889
102780_AD_CYCLE1706,324.547120829018,9.12669769823061,2457501.996435185,3.182546234603715,1.812172222222222
103002_AD_CYCLE1706,306.217461247831,-20.2385728032525,2457503.3959375,4.388151005940926,2.9317777777777776
103302_AD_CYCLE1802,142.566852734378,-18.8426716746514,2457675.141435185,5.979718978934479,10.084111111111111
103302_AD_CYCLE1802_DC,142.566852734378,-18.8426716746514,2457669.9584953706,1.3327307005797802,1.7189361111111112
103302_AD_CYCLE1807_DC,142.566852734378,-18.8426716746514,2457669.9865393518,1.332518534023912,1.9734805555555555
103302_AD_CYCLE1807,142.566852734378,-18.8426716746514,2457670.5069328705,0.7481289341712882,4.692972222222223
103317_AD_CYCLE1802,200.747373971409,-44.6624874544029,2457376.283912037,2.7669460170113886,1.9862805555555554
103317_AD_CYCLE1802_DC,200.747373971409,-44.6624874544029,2457376.2827430554,2.766971218642037,1.9862805555555554
103317_AD_CYCLE1807_DC,200.747373971409,-44.6624874544029,2457376.323310185,2.7661770689359146,4.256749999999999
103317_AD_CYCLE1807,200.747373971409,-44.6624874544029,2457376.283900463,2.766947503020208,1.9862805555555554
103318_AD_CYCLE1802,200.634908076535,-44.6888758902613,2457375.475486111,2.544319248703403,2.0067666666666666
103318_AD_CYCLE1802_DC,200.634908076535,-44.6888758902613,2457375.478287037,2.5442797524325926,1.8243333333333336
103318_AD_CYCLE1807_DC,200.634908076535,-44.6888758902613,2457375.4772685184,2.544348093301574,1.8243333333333336
103318_AD_CYCLE1807,200.634908076535,-44.6888758902613,2457375.475034722,2.544327584284595,2.0067666666666666
103322_AD_CYCLE1802,212.929057337261,-29.9745515499786,2457756.568622685,1.4218030067593403,10.200888888888889
103322_AD_CYCLE1802_DC,212.929057337261,-29.9745515499786,2457756.2772685187,1.2541450833463426,1.4337083333333334
103322_AD_CYCLE1807_DC,212.929057337261,-29.9745515499786,2457756.2788541666,1.2541327441420949,1.44095
103322_AD_CYCLE1807,212.929057337261,-29.9745515499786,2457756.522071759,1.4223065352916089,10.22936111111111
103339_AD_CYCLE1802,1.82486859810285,-30.335376783452,2457884.276122685,18.633542692927893,5.307638888888889
103339_AD_CYCLE1807,1.82486859810285,-30.335376783452,2457884.3279050924,18.624492235651157,4.990972222222222
103339_AD_CYCLE1807_TFA,1.82486859810285,-30.335376783452,2457884.333611111,18.62340094183808,4.53725
103351_AD_CYCLE1807_DC,70.4317769097693,-40.0447160848678,2457983.337303241,4.077709163801608,3.876388888888889
103351_AD_CYCLE1807,70.4317769097693,-40.0447160848678,2457983.3413078706,4.077542487638715,3.876388888888889
103399_AD_CYCLE1807_DC,59.7448326324496,-30.7361244726242,2457982.08556713,4.084494133770255,2.916555555555556
103401_AD_CYCLE1807_DC,59.4754977829085,-30.0197366664328,2457982.7292939816,6.5883122211657055,1.813622222222222
103406_AD_CYCLE1807_DC,58.2638700354724,-30.8048942322825,2457984.9761689813,4.8461090397141895,2.4169
103406_AD_CYCLE1807,58.2638700354724,-30.8048942322825,2457984.9758449076,4.846187357983784,2.4169
103438_AD_CYCLE1807_DC,71.4272155095961,-32.3279786058711,2457982.221215278,1.7226119824105441,8.357722222222222
103438_AD_CYCLE1807,71.4272155095961,-32.3279786058711,2457982.1906597223,0.6860317921319005,5.293722222222223
103456_AD_CYCLE1807_DC,71.2271251178606,-29.9076976583825,2457988.881284722,16.409334142233103,2.6572916666666666
103456_AD_CYCLE1807,71.2271251178606,-29.9076976583825,2457981.980300926,0.665551673302868,1.8408833333333334
103524_AD_CYCLE1807_DC,73.3552481386965,-32.8003544888692,2457982.429386574,3.2760175698429514,2.192477777777778
103524_AD_CYCLE1807,73.3552481386965,-32.8003544888692,2457982.429861111,3.2760154190423614,2.192477777777778
103527_AD_CYCLE1807_DC,75.7955654461153,-30.399375655975,2457982.3788541667,0.8820553552497754,0.8186611111111111
103527_AD_CYCLE1807,75.7955654461153,-30.399375655975,2457983.568252315,2.7483476040131367,7.068694444444444
103529_AD_CYCLE1807_DC,76.2303616283,-31.3182034389764,2457984.636111111,4.524049389956771,2.653286111111111
103529_AD_CYCLE1807,76.2303616283,-31.3182034389764,2457989.182662037,9.046524067757176,2.4199444444444445
103547_AD_CYCLE1807_DC,320.263854558989,-52.5054604896397,2457865.4430787037,3.2828525078611226,3.5393055555555555
103547_AD_CYCLE1807,320.263854558989,-52.5054604896397,2457865.4431481482,3.2828664625399417,3.5393055555555555
