noi_id	lc_flag	tag	cat_prod_id	obj_id	ra_deg	dec_deg	epoch_sec	period_sec	width_sec
101596	AD	CYCLE1706	5040702	006368	326.486512062708	-38.4597945936284	73825814	1136525.36433335	10779.6
101598	AD	CYCLE1706	5040702	009174	326.516783461109	-38.6837018549998	73826625	1136118.29605848	8692.23
101631	AD	CYCLE1706	5042520	015594	58.4289761982791	-34.3282814665794	58173089	255964.473916602	7556.98
101632	AD	CYCLE1706	5040663	018554	80.5382507302862	-30.9708473385463	82187731	379215.893650012	9597.48
101635	AD	TEST16A	5008375	017793	328.97575018806	-14.0682911100832	NULL	NULL	NULL
101635	AD	TEST18	5008375	017793	328.97575018806	-14.0682911100832	72794590	143962.829334236	7231.02
101724	AD	CYCLE1706	5040667	015690	84.8905360618776	-30.5771313291246	82253208	290157.179193615	7218.54
101788	AD	TEST18	5018484	031247	81.8183731446816	-37.3553012564828	82923112	673811.260208023	11557.1
101822	AD	TEST18	5018486	045062	87.0431752784796	-35.050349342451	82133711	327840.306032498	7211.61
101884	AD	CYCLE1706	5042520	016425	56.8020183077929	-34.4586868533079	58608755	844323.749030378	22522.5
101981	AD	TEST16A	5008504	027350	205.961138615677	-12.3599028523416	72507647	81433.6054731957	9615.81
101981	AD	TEST18	5008504	027350	205.961138615677	-12.3599028523416	72758880	406774.940338326	20990.3
102018	AD	TEST16	5006384	024530	214.496490889741	-0.614938412780059	63621788	170851.712495026	6562.58
102018	AD	TEST16A	5006384	024530	214.496490889741	-0.614938412780059	63536919	128692.014307084	7137.2
102018	AD	TEST18	5006384	024530	214.496490889741	-0.614938412780059	63706781	292502.836915483	7929.98
102040	AD	CYCLE1706	5040662	029862	79.2129891256287	-26.0480687489823	54682616	620646.505752075	13997.9
102056	AD	TEST18	5018495	033506	305.702204549846	-19.5301831795063	72985083	378796.936766167	7202.67
102056	AD	TEST18F	5018495	033506	305.702204549846	-19.5301831795063	72985083	378796.936766167	7202.67
102322	AD	CYCLE1706	5040712	044742	214.938485330701	-31.2709931714333	94814977	78078.1348457955	6921.49
102322	AD	NGTS2B	5040712	044742	214.938485330701	-31.2709931714333	NULL	NULL	NULL
102368	AD	CYCLE1706	5040688	015979	218.475662716932	-24.6529513845884	63550605	106810.876405186	5809.04
102381	AD	CYCLE1706	5040697	014387	322.514210645212	-16.4836711843961	73516861	1557883.56717959	27294.3
102623	AD	CYCLE1706	5040718	014870	229.437419655507	-24.4293805100337	97216444	362297.997479898	6197.42
102703	AD	CYCLE1706	5040670	008751	91.8852713191851	-32.8162483390678	82868648	912030.57468826	10517
102780	AD	CYCLE1706	5040701	010446	324.547120829018	9.12669769823061	72878092	274971.994669761	6523.82
103002	AD	CYCLE1706	5041762	051986	306.217461247831	-20.2385728032525	72999009	379136.246913296	10554.4
103302	AD	CYCLE1802	5068192	008144	142.566852734378	-18.8426716746514	87837820	516647.719779939	36302.8
103302	AD	CYCLE1802_DC	5068192	008144	142.566852734378	-18.8426716746514	87390014	115147.932530093	6188.17
103302	AD	CYCLE1807_DC	5068192	008144	142.566852734378	-18.8426716746514	87392437	115129.601339666	7104.53
103302	AD	CYCLE1807	5068192	008144	142.566852734378	-18.8426716746514	87437399	64638.3399123993	16894.7
103317	AD	CYCLE1802	5068198	036114	200.747373971409	-44.6624874544029	62016530	239064.135869784	7150.61
103317	AD	CYCLE1802_DC	5068198	036114	200.747373971409	-44.6624874544029	62016429	239066.313290672	7150.61
103317	AD	CYCLE1807_DC	5068198	036114	200.747373971409	-44.6624874544029	62019934	238997.698756063	15324.3
103317	AD	CYCLE1807	5068198	036114	200.747373971409	-44.6624874544029	62016529	239064.264260946	7150.61
103318	AD	CYCLE1802	5068198	037161	200.634908076535	-44.6888758902613	61946682	219829.183087974	7224.36
103318	AD	CYCLE1802_DC	5068198	037161	200.634908076535	-44.6888758902613	61946924	219825.770610176	6567.6
103318	AD	CYCLE1807_DC	5068198	037161	200.634908076535	-44.6888758902613	61946836	219831.675261256	6567.6
103318	AD	CYCLE1807	5068198	037161	200.634908076535	-44.6888758902613	61946643	219829.903282189	7224.36
103322	AD	CYCLE1802	5068203	009779	212.929057337261	-29.9745515499786	94873129	122843.779784007	36723.2
103322	AD	CYCLE1802_DC	5068203	009779	212.929057337261	-29.9745515499786	94847956	108358.135201124	5161.35
103322	AD	CYCLE1807_DC	5068203	009779	212.929057337261	-29.9745515499786	94848093	108357.069093877	5187.42
103322	AD	CYCLE1807	5068203	009779	212.929057337261	-29.9745515499786	94869107	122887.284649195	36825.7
103323	AD	CYCLE1706	5040707	009138	352.521690537179	-38.9699414227366	NULL	NULL	NULL
103339	AD	CYCLE1802	5090011	014024	1.82486859810285	-30.335376783452	105907057	1609938.08866897	19107.5
103339	AD	CYCLE1807_DC	5090011	014024	1.82486859810285	-30.335376783452	NULL	NULL	NULL
103339	AD	TEST23_DC2	5090011	014024	1.82486859810285	-30.335376783452	NULL	NULL	NULL
103339	AD	CYCLE1807	5090011	014024	1.82486859810285	-30.335376783452	105911531	1609156.12916026	17967.5
103339	AD	CYCLE1807_TFA	5090011	014024	1.82486859810285	-30.335376783452	105912024	1609061.84137481	16334.1
103351	AD	CYCLE1802	5090016	014866	70.4317769097693	-40.0447160848678	NULL	NULL	NULL
103351	AD	CYCLE1807_DC	5090016	014866	70.4317769097693	-40.0447160848678	114465943	352314.071752459	13955
103351	AD	CYCLE1807	5090016	014866	70.4317769097693	-40.0447160848678	114466289	352299.670931985	13955
103399	AD	CYCLE1802	5068161	012183	59.7448326324496	-30.7361244726242	NULL	NULL	NULL
103399	AD	CYCLE1807_DC	5068161	012183	59.7448326324496	-30.7361244726242	114357793	352900.29315775	10499.6
103399	AD	CYCLE1807	5068161	012183	59.7448326324496	-30.7361244726242	NULL	NULL	NULL
103401	AD	CYCLE1802	5068161	006331	59.4754977829085	-30.0197366664328	NULL	NULL	NULL
103401	AD	CYCLE1807_DC	5068161	006331	59.4754977829085	-30.0197366664328	114413411	569230.175908717	6529.04
103401	AD	CYCLE1807	5068161	006331	59.4754977829085	-30.0197366664328	NULL	NULL	NULL
103406	AD	CYCLE1802	5068161	012568	58.2638700354724	-30.8048942322825	NULL	NULL	NULL
103406	AD	CYCLE1807_DC	5068161	012568	58.2638700354724	-30.8048942322825	114607541	418703.821031306	8700.84
103406	AD	CYCLE1807	5068161	012568	58.2638700354724	-30.8048942322825	114607513	418710.587729799	8700.84
103438	AD	CYCLE1802	5068164	026479	71.4272155095961	-32.3279786058711	NULL	NULL	NULL
103438	AD	CYCLE1807_DC	5068164	026479	71.4272155095961	-32.3279786058711	114369513	148833.675280271	30087.8
103438	AD	CYCLE1807	5068164	026479	71.4272155095961	-32.3279786058711	114366873	59273.1468401962	19057.4
103456	AD	CYCLE1802	5068164	003451	71.2271251178606	-29.9076976583825	NULL	NULL	NULL
103456	AD	CYCLE1807_DC	5068164	003451	71.2271251178606	-29.9076976583825	114944943	1417766.46988894	9566.25
103456	AD	CYCLE1807	5068164	003451	71.2271251178606	-29.9076976583825	114348698	57503.6645733678	6627.18
103524	AD	CYCLE1802	5068167	003832	73.3552481386965	-32.8003544888692	NULL	NULL	NULL
103524	AD	CYCLE1807_DC	5068167	003832	73.3552481386965	-32.8003544888692	114387499	283047.918034431	7892.92
103524	AD	CYCLE1807	5068167	003832	73.3552481386965	-32.8003544888692	114387540	283047.73220526	7892.92
